年份,县区名称,莺落峡流量（亿立方米）,其他河流流量（亿立方米）,地表引水量（亿立方米）,地下抽水量（亿立方米）,耕地面积ET（亿立方米）,农业产值变化率,工业产值变化率,服务业产值变化率,耕地面积变化率,城镇工业用地变化率,服务业用地变化率,水价变化率,就业率变化率,地表需水量变化率,地下需水量变化率,非农业需水量变化率,农业产值（亿元）,工业产值（亿元）,服务业产值（亿元）,耕地面积（公顷）,城镇工业用地面积（公顷）,服务业用地面积（公顷）,水价（元/立方米）,就业率,地表需水量（亿立方米）,地下需水量（亿立方米）,非农业需水量（亿立方米）,人口总数（万人）,城镇化人口数量（万人）,城镇化率（%）,温度（）,降水（厘米）,林地面积（公顷）,草地面积（公顷）,湿地面积（公顷）,退化土地面积（公顷）,GDP
2012,流域,23.7450486136871,20.9215407998486,25.759354,9.621368,21.17627025,0,0,0,0,0,0,0,0,0,0,0,126.33,475.18,245.67,643784,187172,187776,0.3,47.9080158879744,43.80340994,20.19466675,1.8148,214.8795,82.167611,38.2389250719589,8.59,16.88,47328,821826.64,0,16056814.36,847.18
2013,流域,23.9769932859924,21.0330209170313,26.5122267440667,9.61337270999257,22.059966419919,0,0,0,0,0,0,0,0,0,0,0,126.300902152482,475.200970625486,245.677198958638,643157.432623654,187176.034996593,187778.249711338,-0.545398598968397,47.0131914865994,43.3707880967863,20.4785690129012,1.65106631976374,218.333230575762,96.3839834807477,44.1453567221882,8.62552265731732,16.9443616136525,75331.884931795,924041.308837298,0,15927194.3325948,847.179071736606
2014,流域,24.2124547802771,21.141273187395,26.685792643477,9.61498149511504,22.3046045239224,0,0,0,0,0,0,0,0,0,0,0,128.58839571251,496.44292601347,249.03088111732,638617.620735634,184740.56395501,185304.359440706,-0.723226675925398,47.3761703898858,42.2522001124798,20.3247477560022,1.92463546692606,219.16113029274,99.0018563463882,45.1730907821786,8.66119221325895,17.0089686311741,75764.9690491216,923721.399211897,0,15934693.0436555,874.0622028433
2015,流域,24.4515432847467,21.2461379433984,26.6606106079693,9.62460799714652,21.963550747324,0,0,0,0,0,0,0,0,0,0,0,131.129121064017,518.552051537506,252.410967667003,640168.388877468,182346.672625313,182871.43553639,-1.35775631252533,47.7518146947389,42.7607583468855,20.0937364483362,2.13381092113578,219.981619512145,101.64441344419,46.2058665035778,8.69700927530214,17.0738219882634,76212.6491084749,923652.837651876,0,15935702.8458047,902.092140268526
2016,流域,24.6943732897528,21.3474492911768,26.6039763263498,9.62266808170104,22.1969058060134,0,0,0,0,0,0,0,0,0,0,0,133.694061764517,541.808741220071,255.850988594015,640289.144981958,180006.873955622,180492.717535946,-5.07544214397542,48.1369174390003,42.5630503175947,20.4109234779398,1.6276210716996,220.794501070748,104.311170065798,47.2435543276388,8.73297445343626,17.1389226241863,76673.2745227607,923274.941102526,0,15938210.4362407,931.353791578602
2017,流域,24.9410637704785,21.4450348745972,26.6493809505069,9.61346752448599,22.2671751897447,0,0,0,0,0,0,0,0,0,0,0,136.317654725327,566.175227900816,259.340035359136,640210.249853086,177694.610499668,178142.434682429,-12.3121083279785,48.5301471699512,42.4198594891207,20.2103219841399,1.70654330576093,221.599593574741,107.001632329863,48.2860237258394,8.76908836017319,17.2042714817904,77146.7785331543,922773.175746655,0,15941138.7368915,961.832917985279
2018,流域,25.1917383777863,21.5387156302173,26.7133771212679,9.64129165593165,21.8352764202519,0,0,0,0,0,0,0,0,0,0,0,139.016398268186,591.714188517025,262.874539750705,641059.287089853,175426.193842113,175836.426513463,-29.7080497974646,48.9323406163569,42.5735708992883,20.1242484710373,1.73689776192846,222.396731406324,109.715248480597,49.3331209441852,8.80535161055779,17.2698695075181,77633.409880663,922879.18969796,0,15942411.0070411,993.605126535916
2019,流域,25.4465256375781,21.6283055328564,26.7677537867693,9.63328563279417,22.0295686498699,0,0,0,0,0,0,0,0,0,0,0,141.774634288547,618.523483357627,266.461689862382,641883.183776293,173200.682252106,173574.224719346,-81.6318416802458,49.3439306528191,42.6569516531457,20.3615492099254,1.71267352261268,223.185764655592,112.451362649343,50.3846483322411,8.84176482217832,17.3357176514204,78133.2204958871,922411.795460311,0,15944158.7317377,1026.75980750856
2020,流域,25.7055591590851,21.7136113312622,26.7393669984325,9.61887100264169,22.2192525232778,0,0,0,0,0,0,0,0,0,0,0,144.580590937564,646.631944214865,270.100687173921,642162.376724516,170996.943789159,171334.214589731,-188.232105408744,49.7633951991415,42.7498279622834,20.3013632544958,1.77959383248723,223.966558981782,115.209172289025,51.440345743043,8.87832861517698,17.4018168671709,78645.7597238336,922462.489329872,0,15946016.505351,1061.31322232635
2021,流域,25.9689778524792,21.7944322736328,26.7358465513046,9.62479903852343,22.2644246236691,0,0,0,0,0,0,0,0,0,0,0,147.454010226631,676.114299248935,273.792920906156,642680.639154005,168837.907038909,169139.51044351,-554.717565381085,50.192474042573,42.728932761033,20.1466734153065,1.73273094084361,224.738995408383,117.987690258212,52.4998743737423,8.9150436122605,17.4681681120794,79172.0576113741,921951.549912071,0,15948078.6124232,1097.36123038172
2022,流域,26.2369261562427,21.8705598224731,26.8054830530991,9.65325889846309,21.9079661899448,0,0,0,0,0,0,0,0,0,0,0,150.387594179851,707.060923482337,277.538923395695,643178.250991344,166715.307597833,166981.786541705,-1492.89439962285,50.6309698893109,42.7276057592837,20.1364339536792,1.72425355100119,225.502970056899,120.785712318703,53.562803313955,8.9519104387107,17.5347723471059,79711.7954936484,921564.867840277,0,15949965.1500125,1134.98744105788
2023,流域,26.5095542747559,21.941777358418,26.8044993210695,9.62933561450866,22.0670356953192,0,0,0,0,0,0,0,0,0,0,0,153.402133296137,739.53484528242,281.337813129347,644031.829045864,164630.505569892,164862.452263318,-2635.29624724824,51.0795496169825,42.8527658575021,20.2629728755314,1.89273122567799,226.258393824363,123.601790619944,54.6285989795774,8.98892972239518,17.6016305368741,80265.3640039268,921123.559033624,0,15951463.9670842,1174.2747917079
2024,流域,26.7870184265509,22.0078598725537,26.8115022873296,9.63058296035232,21.9891816792337,0,0,0,0,0,0,0,0,0,0,0,156.466352862414,773.600753984435,285.19195757162,644610.601316389,162572.484805945,162770.336853465,-9530.65733441867,51.5366649322291,42.9550040876261,20.2577093438146,1.72710913621019,227.005192009846,126.434213573922,55.6966175330639,9.02610209377796,17.6687436496862,80832.2170422699,920973.342230975,0,15952969.3404425,1215.25906441847
2025,流域,27.0694811037598,22.0685736467798,26.8867488192673,9.64043496981921,22.0914328163821,0,0,0,0,0,0,0,0,0,0,0,159.603437742558,809.364966871068,289.104080638157,644975.000419092,160553.86849704,160718.4215954,-26359.1130238,52.0040943816667,42.9064666039783,20.2568820669803,1.70376457802081,227.743303895323,129.280992372203,56.7661003247868,9.06342818593027,17.736112657536,81412.9445667944,921022.551298062,0,15954384.6121174,1258.07248525178
2026,流域,27.357111343241,22.1236759217432,26.8779638578271,9.64359132932097,22.0074905505349,0,0,0,0,0,0,0,0,0,0,0,162.807192344658,846.881887796639,293.070611492116,645518.738855831,158558.746389351,158690.398235422,-48185.6549729646,52.4806745201698,42.9496918461104,20.1367319136672,1.86228732472514,228.472682286312,132.139854258216,57.8361723318084,9.10090863454132,17.8037385361238,82007.0911691302,920529.932225374,0,15956206.865264,1302.75969163341
2027,流域,27.6500850099377,22.1729145518164,26.8242652634064,9.63353276739727,22.024017496203,0,0,0,0,0,0,0,0,0,0,0,166.087649690646,886.281624411076,297.096014189459,646097.814660776,156605.120994575,156704.409773267,-124943.810487394,52.968099142007,43.0092826300731,20.1837533857727,1.86837586961354,229.193293017655,135.008242538818,58.9058435180378,9.1385440779291,17.8716222648697,82615.7353786882,919849.98361847,0,15958035.7331754,1349.46528829118
2028,流域,27.8262046939496,22.2160276466016,26.898183897804,9.64935959753044,21.8060779407002,0,0,0,0,0,0,0,0,0,0,0,169.432081218483,927.647577758475,301.181275485976,646564.6372737,154683.93359294,154751.311366247,-448223.491154941,53.4655812829724,42.9856547891971,20.248273279146,1.69239557397471,229.905114429762,137.883323196476,59.9740129916077,9.17633515705127,17.9397648269286,83238.5197206017,919913.249726604,0,15959178.1139532,1398.26093446293
2029,流域,27.9884275925604,22.2527431984277,26.9110848025059,9.63380163485794,22.0054129828031,0,0,0,0,0,0,0,0,0,0,0,172.860313434504,971.06441580425,305.32389491228,647175.598036931,152792.334640152,152828.525011626,-885086.673337807,53.9733622455363,43.0458665893864,20.2759744505047,1.81251638203244,230.608136820459,140.761997844931,61.0394757902761,9.21428251551608,18.0081672092039,83875.1111087473,919084.671695825,0,15961042.891729,1449.24862415103
2030,流域,28.1512953290314,22.282778695293,26.8641727940478,9.62115417172434,22.3708625488436,0,0,0,0,0,0,0,0,0,0,0,176.353330694063,1016.64044180727,309.527270144089,647695.025012567,150926.951568196,150932.254325509,-2985776.25844074,54.4910079378994,43.0736378245999,20.1969954576818,1.71525999305666,231.302361877466,143.640922656531,62.1009320832728,9.25238679959334,18.0768304023619,84525.9332398325,918796.066069013,0,15962462.8749715,1502.52104264542
2031,流域,28.3148105629974,22.3058407185718,26.9386414800665,9.62215316722556,22.2898122142692,0,0,0,0,0,0,0,0,0,0,0,179.922435818339,1064.49453395853,313.792089923163,648114.806896203,149090.439278032,149065.551872094,-8183685.76583584,55.0191902944639,43.0466360624751,20.0842790579198,1.67319063930609,231.987802096258,146.516532779213,63.1569985384055,9.29064865822538,18.1457554008464,85190.9148123664,918417.403547424,0,15964037.5219712,1558.20905970003
2032,流域,28.4789759657666,22.3216245249805,26.9072433233486,9.63468411882224,22.3270530409965,0,0,0,0,0,0,0,0,0,0,0,183.581847544918,1114.75288419548,318.118708736059,648757.030650666,147289.297877856,147234.610017428,-21137724.4831829,55.5588109840516,43.1294018587574,20.0935930051317,1.70733009095574,232.664480187846,149.385071657352,64.2062215671011,9.32906874303815,18.2149432028927,85870.9918992186,918010.711242759,0,15965314.3601983,1616.45344047646
2033,流域,28.6437942203827,22.3298136120752,26.9466192058189,9.63092852558808,22.2715637963866,0,0,0,0,0,0,0,0,0,0,0,187.316845633023,1167.54628416676,322.510353582688,649089.791408637,145518.266786734,145434.33262458,-43578037.6495164,56.1095710828194,43.093450460025,20.1161535422292,1.77995941359927,233.332428480731,152.242624576265,65.2470921284041,9.36764770835231,18.2843948105423,86565.9984049723,917633.55523443,0,15966817.6973403,1677.37348338247
2034,流域,28.809268021676,22.3300792666431,26.9616506809949,9.65029779164744,22.2163165762077,0,0,0,0,0,0,0,0,0,0,0,191.137052855555,1222.97540882265,326.964682261803,649660.670485635,143775.027688787,143662.298466197,-120740534.544365,56.6711925814691,43.1280677128709,20.0832514217922,1.77278917873155,233.991688321005,155.085155668391,66.2780617470629,9.40638621119435,18.3541112296575,87276.0508950187,917019.474193215,0,15968285.219492,1741.07714394001
2035,流域,28.9754000763232,22.3220800952954,26.8155498302808,9.61821505090714,22.3911860939426,0,0,0,0,0,0,0,0,0,0,0,195.041096763217,1281.21185640189,331.485123997715,650113.359294373,142061.290605431,141920.253244789,-253685921.205662,57.2443753250017,43.1197576820595,20.1324519657252,1.87630228257993,234.642309474227,157.908547553676,67.297559381984,9.4452849113078,18.4240934699358,88001.5873421488,916241.572597544,0,15969980.4210855,1807.73807716282
2036,流域,29.1421931029047,22.3054615364844,26.8878836257521,9.61816713250038,22.3157792070017,0,0,0,0,0,0,0,0,0,0,0,199.023374144745,1342.38703451473,336.072935992305,650483.252825314,140374.377237608,140205.371677727,-978767517.805503,57.8289393216968,43.057464093004,20.0762199470278,1.64122201151641,235.284349532428,160.708642740725,68.3040087707047,9.48434447116447,18.4943425449245,88743.4602627474,915968.409207054,0,15971216.507318,1877.48334465178
2037,流域,29.3096498319598,22.2798553532568,26.8814878206016,9.6194358012427,22.3599958072096,0,0,0,0,0,0,0,0,0,0,0,203.101693411129,1406.64189580765,340.725088740564,650977.733309138,138715.802283434,138519.586706857,-2692305338.09991,58.4249340581316,43.1228747901202,20.1602325254456,1.63029092341366,235.917873329267,163.481285891509,69.2958458740175,9.52356555597571,18.5648594720354,89500.3598297735,915513.05313098,0,15972451.5090904,1950.46867795935
2038,流域,29.4777730060474,22.2448791058716,26.8669532750655,9.61631897916802,22.3892878563927,0,0,0,0,0,0,0,0,0,0,0,207.270817819005,1474.13726772741,345.447076814425,651440.321924674,137083.58252967,136860.446651028,-6956445598.738,59.0329076763342,43.0598914724718,20.0867187944997,1.63473064331385,236.542952366007,166.222366052689,70.2715360529915,9.56294883370376,18.6356452725598,90274.507482644,914607.881369211,0,15974140.6413988,2026.85516236084
2039,流域,29.6465653798022,22.2001356034888,26.908199672559,9.64159510085892,22.148757441224,0,0,0,0,0,0,0,0,0,0,0,211.531193548426,1545.05505907524,350.238158422766,651851.583189719,135478.177622681,135228.591543799,-18354886355.2777,59.6529133012544,43.0322534989174,20.0583366048431,1.63403962773902,237.159664250714,168.927857981568,71.2295906284407,9.60249497507311,18.7067009716828,91065.8975271801,913925.443382336,0,15975608.054085,2106.82441104644
2040,流域,29.8160297199933,22.1452123341211,26.8372347015394,9.62704711689822,22.2339889750558,0,0,0,0,0,0,0,0,0,0,0,215.89187316697,1619.58379508093,355.099967556478,652339.112467543,133901.202392812,133625.635358663,-38316624438.5691,60.2855762193307,43.0257028735785,20.1407764841147,1.73874649989597,237.768092152744,171.593861743803,72.168582499947,9.64220465358192,18.7780275984987,91875.3422103901,913208.780954973,0,15976963.3935048,2190.57563580438
2041,流域,29.9861688055835,22.0796808718018,26.8846242926113,9.62471455817194,22.0698336908902,0,0,0,0,0,0,0,0,0,0,0,220.340507419948,1697.89961805544,360.033770408993,652682.761577843,132348.864998309,132047.753888032,-124217419758.924,60.930343845267,42.95986027948,20.1420077015761,1.61519525737083,238.368324274282,174.216639831613,73.0871605369629,9.68207854551355,18.8496261860253,92703.2486684143,912253.610503446,0,15978665.0926474,2278.27389588438
2042,流域,30.1569854277899,22.0030962601807,26.8442068534156,9.63425143358692,22.1908124255557,0,0,0,0,0,0,0,0,0,0,0,224.893593746982,1780.20460034884,365.03833456867,653214.706632455,130819.269735083,130492.944485987,-339792712750.915,61.5877861432175,43.0656681183834,20.2480856098179,1.61446691639421,238.960453340436,176.792651142409,73.9840624969607,9.72211732994796,18.9214977712196,93550.5777484169,911755.193740272,0,15979701.909577,2370.1365286645
2043,流域,30.3284823901379,21.914996371499,26.8438535042629,9.63549114656223,22.2024545069641,0,0,0,0,0,0,0,0,0,0,0,229.542316405595,1866.69947539951,370.118528265555,653520.887182457,129316.589101534,128965.704604972,-888923086904.285,62.2579969147047,43.0097696999712,20.2989007055948,1.60871784375136,239.544576109087,179.31858126482,74.8581262733995,9.76232168877339,18.9936433949919,94417.7798055236,910857.334464221,0,15981300.0673132,2466.36032007066
2044,流域,30.5006625085266,21.8149012398901,26.7225527142776,9.6243028648914,22.2593495187054,0,0,0,0,0,0,0,0,0,0,0,234.301483217358,1957.53504908519,375.272708873624,653893.221303083,127836.814945705,127461.644413537,-1778559311115.63,62.9408200114397,42.8597711717099,20.0864664267053,1.7092122439264,240.120792901479,181.791368637559,75.7082993275586,9.80269230669792,19.0660641022218,95306.3749896947,909573.447841022,0,15983199.4055965,2567.10924117617
2045,流域,30.6735286112866,21.7023123680054,26.7429639441747,9.61367990298945,22.2967585125537,0,0,0,0,0,0,0,0,0,0,0,239.158546677662,2053.11176552414,380.504974688812,654172.68012916,126384.213274832,125985.081945131,-5946260353408.05,63.6377802455277,42.8373915330616,20.1910394315973,1.57604073489083,240.689207154266,184.208226271562,76.5336462110229,9.84322987126112,19.1387609417728,96218.3319222381,909059.23275084,0,15984330.3592387,2672.77528689061
2046,流域,30.8470835392413,21.5767120058105,26.6892606607668,9.62570430961648,22.1531719163201,0,0,0,0,0,0,0,0,0,0,0,244.127191409109,2153.49104670743,385.811701661696,654538.171924463,124952.676328908,124530.306275516,-16378197951053.8,64.3471353947615,42.7097699298059,20.0634518312731,1.55549303112936,241.249924993529,186.566658852511,77.3333541378367,9.8839350728458,19.2117349665074,97151.974050245,908178.271470461,0,15985724.4586205,2783.42993977823
2047,流域,31.0213301457654,21.4375624003955,26.7097313500716,9.62141846770892,22.2305291729149,0,0,0,0,0,0,0,0,0,0,0,249.204765442735,2259.02819248752,391.198536081678,654831.815875435,123547.477155589,123102.070950898,-42910185170805.8,65.0707575943951,42.6276902443022,20.088651043679,1.55330703110363,241.803054831071,188.864475164382,78.1067366151875,9.92480860468972,19.2849872333029,98111.4662487555,906689.525644098,0,15987718.0025732,2899.43149401193
2048,流域,31.1962712968469,21.2843050155884,26.6630114863186,9.62643458511394,22.210787360008,0,0,0,0,0,0,0,0,0,0,0,254.399311695239,2370.00969341285,396.664604164801,655169.349087953,122162.604536483,121694.618012876,-113419286071397,65.808289539305,42.5587732140251,20.0632566402764,1.55881295078083,242.34870698313,191.099795890869,78.8532351873333,9.96585116289745,19.3585188030661,99097.0509804992,905471.183559408,0,15989376.1930663,3021.07360927289
2049,流域,31.3719098711505,21.1163597201221,26.5671804500178,9.6210677061675,22.1764812783786,0,0,0,0,0,0,0,0,0,0,0,259.71335819634,2486.66158577277,402.210381662559,655688.201303917,120801.800376955,120311.605144372,-302371444698095,66.5600050739416,42.4941377873073,20.0719032496267,1.54973546524369,242.886993311464,193.271056956702,79.5724193880004,10.0070634464522,19.432330740749,100110.545081148,904264.970373314,0,15990774.6479972,3148.58532563167
2050,流域,31.5482487600757,20.9331239429883,26.6084730440395,9.63927157411738,21.9881680997044,0,0,0,0,0,0,0,0,0,0,0,265.129558592806,2609.38626721578,407.842286736568,655678.329047769,119463.279675603,118951.238141933,-803764272746962,67.3263447373794,42.3301641007082,20.0639065509853,1.5114431514344,243.418026886635,195.377008662278,80.2639850306855,10.0484461572276,19.5064241153641,101153.760207724,903040.46560118,0,15992662.9164582,3282.35811254515
